"RRR","AAA"
"DE4-S","DE4-S_VRE-ONS-LW_RG2_30-40"
"DE4-S","DE4-S_VRE-ONS-LW_RG3_30-40"
"DE4-S","DE4-S_VRE-ONS-LW_RG1_40-50"
"DE4-S","DE4-S_VRE-ONS-LW_RG2_40-50"
"DE4-S","DE4-S_VRE-ONS-LW_RG3_40-50"
"DE4-S","DE4-S_VRE-ONS-LW_RG1_50"
"DE4-S","DE4-S_VRE-ONS-LW_RG2_50"
"DE4-S","DE4-S_VRE-ONS-LW_RG3_50"
"DE4-S","DE4-S_IND-HT-NODH"
"DE4-S","DE4-S_IND-HT-DH"
"DE4-S","DE4-S_IND-LT-NODH"
"DE4-S","DE4-S_IND-LT-DH"
"DE4-S","DE4-S_IND-MT-NODH"
"DE4-S","DE4-S_IND-MT-DH"
"DE4-S","DE4-S_IDVU-HOTWTR"
"DE4-S","DE4-S_IDVU-SPACEHEAT"
"DE4-W","DE4-W_A"
"DE4-W","DE4-W_Offshore"
"DE4-W","DE4-NW_VRE-OFF1_RG1_20-30"
"DE4-W","DE4-NW_VRE-OFF1_RG2_20-30"
"DE4-W","DE4-NW_VRE-OFF1_RG3_20-30"
"DE4-W","DE4-NW_VRE-OFF1_RG1_30-40"
"DE4-W","DE4-NW_VRE-OFF1_RG2_30-40"
"DE4-W","DE4-NW_VRE-OFF1_RG3_30-40"
"DE4-W","DE4-NW_VRE-OFF1_RG1_40-50"
"DE4-W","DE4-NW_VRE-OFF1_RG2_40-50"
"DE4-W","DE4-NW_VRE-OFF1_RG3_40-50"
"DE4-W","DE4-NW_VRE-OFF1_RG1_50"
"DE4-W","DE4-NW_VRE-OFF1_RG2_50"
"DE4-W","DE4-NW_VRE-OFF1_RG3_50"
"DE4-W","DE4-W_VRE-ONS_RG1_20-30"
"DE4-W","DE4-W_VRE-ONS_RG2_20-30"
"DE4-W","DE4-W_VRE-ONS_RG3_20-30"
"DE4-W","DE4-W_VRE-ONS_RG1_30-40"
"DE4-W","DE4-W_VRE-ONS_RG2_30-40"
"DE4-W","DE4-W_VRE-ONS_RG3_30-40"
"DE4-W","DE4-W_VRE-ONS_RG1_40-50"
"DE4-W","DE4-W_VRE-ONS_RG2_40-50"
"DE4-W","DE4-W_VRE-ONS_RG3_40-50"
"DE4-W","DE4-W_VRE-ONS_RG1_50"
"DE4-W","DE4-W_VRE-ONS_RG2_50"
"DE4-W","DE4-W_VRE-ONS_RG3_50"
"DE4-W","DE4-W_VRE-ONS-LW_RG1_20-30"
"DE4-W","DE4-W_VRE-ONS-LW_RG2_20-30"
"DE4-W","DE4-W_VRE-ONS-LW_RG3_20-30"
"DE4-W","DE4-W_VRE-ONS-LW_RG1_30-40"
"DE4-W","DE4-W_VRE-ONS-LW_RG2_30-40"
"DE4-W","DE4-W_VRE-ONS-LW_RG3_30-40"
"DE4-W","DE4-W_VRE-ONS-LW_RG1_40-50"
"DE4-W","DE4-W_VRE-ONS-LW_RG2_40-50"
"DE4-W","DE4-W_VRE-ONS-LW_RG3_40-50"
"DE4-W","DE4-W_VRE-ONS-LW_RG1_50"
"DE4-W","DE4-W_VRE-ONS-LW_RG2_50"
"DE4-W","DE4-W_VRE-ONS-LW_RG3_50"
"DE4-W","DE4-W_IND-HT-NODH"
"DE4-W","DE4-W_IND-HT-DH"
"DE4-W","DE4-W_IND-LT-NODH"
"DE4-W","DE4-W_IND-LT-DH"
"DE4-W","DE4-W_IND-MT-NODH"
"DE4-W","DE4-W_IND-MT-DH"
"DE4-W","DE4-W_IDVU-HOTWTR"
"DE4-W","DE4-W_IDVU-SPACEHEAT"
"NL","NL_A"
"NL","NL_Offshore"
"NL","NL_VRE-OFF1_RG2_20-30"
"NL","NL_VRE-OFF2_RG2_20-30"
"NL","NL_VRE-OFF2_RG3_20-30"
"NL","NL_VRE-OFF1_RG2_30-40"
"NL","NL_VRE-OFF2_RG2_30-40"
"NL","NL_VRE-OFF2_RG3_30-40"
"NL","NL_VRE-OFF1_RG2_40-50"
"NL","NL_VRE-OFF2_RG2_40-50"
"NL","NL_VRE-OFF2_RG3_40-50"
"NL","NL_VRE-OFF1_RG2_50"
"NL","NL_VRE-OFF2_RG2_50"
